income_code,age_range,gender,ethnicity,education,population
K,45_54,male,white,HS Diploma,45188
G,75_84,male,white,< Than HS Diploma,45129
K,18_24,male,hispanic,Some College,13548
D,65_74,male,black,Graduate Degree,20051
J,75_84,male,asian,Graduate Degree,3106
G,85_120,female,islander,Bachelor Degree,37
H,75_84,male,islander,Some College,26
G,65_74,female,hispanic,Bachelor Degree,8153
H,55_64,male,hispanic,< Than HS Diploma,39899
E,25_34,female,hispanic,Some College,155527
A,25_34,male,hispanic,Graduate Degree,14881
K,55_64,male,hispanic,Some College,8285
D,85_120,male,islander,Some College,22
G,35_44,male,asian,HS Diploma,14784
E,18_24,male,asian,HS Diploma,7797
G,45_54,female,black,Some College,40282
C,55_64,male,asian,Some College,4853
J,25_34,male,black,Graduate Degree,11295
H,75_84,male,black,HS Diploma,3082
H,85_120,male,black,< Than HS Diploma,1300
L,45_54,male,hispanic,Some College,18190
I,55_64,male,islander,HS Diploma,42
I,65_74,female,islander,Graduate Degree,18
G,25_34,female,white,Graduate Degree,312466
C,55_64,male,black,HS Diploma,87789
D,35_44,male,black,Some College,91606
J,45_54,male,white,HS Diploma,60236
L,75_84,female,white,< Than HS Diploma,12518
F,55_64,male,black,Graduate Degree,34236
I,45_54,male,white,Some College,153215
F,18_24,female,black,Bachelor Degree,14929
J,25_34,female,hispanic,< Than HS Diploma,52028
I,35_44,male,black,HS Diploma,4145
L,18_24,female,asian,Some College,10857
A,18_24,male,white,Graduate Degree,27432
L,85_120,female,hispanic,Graduate Degree,664
F,35_44,female,black,Some College,114081
H,35_44,male,white,< Than HS Diploma,42233
C,18_24,male,white,Graduate Degree,21245
U,18_24,female,white,Graduate Degree,2
C,35_44,male,white,< Than HS Diploma,54138
G,45_54,female,white,< Than HS Diploma,31616
C,45_54,male,asian,Some College,8015
L,85_120,male,asian,Some College,601
E,18_24,male,asian,Bachelor Degree,13950
G,45_54,male,hispanic,Graduate Degree,12338
J,65_74,male,white,< Than HS Diploma,5793
B,55_64,male,islander,Some College,64
C,18_24,male,islander,Graduate Degree,11
I,45_54,female,islander,< Than HS Diploma,13
D,75_84,female,islander,HS Diploma,271
J,85_120,male,black,Some College,444
L,25_34,male,islander,Bachelor Degree,207
D,18_24,male,islander,HS Diploma,101
B,35_44,male,white,HS Diploma,111949
F,85_120,female,black,HS Diploma,12393
C,75_84,male,black,Bachelor Degree,7212
H,85_120,male,black,Graduate Degree,920
A,45_54,female,islander,Some College,268
G,35_44,male,hispanic,Graduate Degree,17279
F,25_34,female,asian,Some College,50347
G,18_24,male,hispanic,Bachelor Degree,2341
K,55_64,female,asian,Some College,4002
K,75_84,male,hispanic,< Than HS Diploma,2279
G,75_84,female,asian,< Than HS Diploma,1082
K,25_34,male,islander,< Than HS Diploma,9
I,75_84,female,white,HS Diploma,51493
K,25_34,male,islander,Bachelor Degree,163
L,85_120,male,islander,Graduate Degree,7
L,45_54,male,white,Graduate Degree,200149
G,25_34,male,hispanic,Bachelor Degree,20819
G,65_74,female,asian,Some College,5720
K,18_24,female,hispanic,< Than HS Diploma,3065
B,65_74,male,islander,Some College,46
H,65_74,female,islander,HS Diploma,77
I,75_84,male,islander,Graduate Degree,18
H,18_24,female,asian,Bachelor Degree,9337
A,55_64,male,black,Bachelor Degree,17103
L,55_64,male,hispanic,Graduate Degree,11543
K,55_64,male,hispanic,Bachelor Degree,4607
J,65_74,male,asian,HS Diploma,981
B,75_84,male,islander,HS Diploma,119
K,35_44,male,hispanic,HS Diploma,9348
C,65_74,female,black,Graduate Degree,10663
J,45_54,male,islander,< Than HS Diploma,13
G,18_24,male,hispanic,HS Diploma,14439
D,85_120,male,white,Graduate Degree,104449
F,85_120,female,hispanic,HS Diploma,3557
E,35_44,male,islander,Some College,882
F,65_74,male,black,< Than HS Diploma,13110
A,35_44,female,islander,< Than HS Diploma,136
K,85_120,female,asian,< Than HS Diploma,57
J,55_64,male,white,Some College,123391
E,25_34,female,black,Bachelor Degree,94325
D,45_54,male,black,Graduate Degree,23221
J,18_24,male,white,HS Diploma,26310
H,85_120,female,asian,Bachelor Degree,2022
H,45_54,male,white,Some College,560571
D,65_74,female,black,HS Diploma,159370
H,85_120,male,asian,Graduate Degree,1195
U,45_54,female,asian,Some College,2
H,18_24,female,white,Some College,287742
K,85_120,female,black,Bachelor Degree,634
J,18_24,male,hispanic,HS Diploma,4052
E,18_24,female,asian,Graduate Degree,3168
H,85_120,male,black,Some College,920
G,75_84,female,islander,< Than HS Diploma,31
C,25_34,female,hispanic,HS Diploma,174304
I,35_44,male,hispanic,HS Diploma,13631
J,18_24,female,white,Graduate Degree,17736
E,65_74,female,hispanic,< Than HS Diploma,72241
J,55_64,male,asian,Some College,6725
D,45_54,male,hispanic,HS Diploma,86291
G,25_34,female,white,HS Diploma,377810
B,75_84,female,islander,< Than HS Diploma,187
L,65_74,female,islander,Bachelor Degree,48
G,85_120,male,islander,Graduate Degree,7
E,25_34,male,white,HS Diploma,883916
J,35_44,female,white,Bachelor Degree,195177
F,45_54,female,black,Bachelor Degree,56459
D,18_24,female,hispanic,HS Diploma,43430
A,35_44,female,asian,Graduate Degree,7955
I,45_54,male,asian,HS Diploma,4787
G,25_34,male,islander,Bachelor Degree,407
L,65_74,male,islander,Bachelor Degree,26
H,45_54,female,white,< Than HS Diploma,32875
F,55_64,female,white,Some College,532842
C,35_44,female,black,HS Diploma,86588
C,85_120,male,islander,HS Diploma,53
K,75_84,female,islander,< Than HS Diploma,4
H,35_44,female,asian,Graduate Degree,19265
B,85_120,male,hispanic,Graduate Degree,1505
G,45_54,female,islander,Some College,299
I,25_34,male,islander,< Than HS Diploma,42
A,65_74,male,islander,Graduate Degree,26
F,18_24,female,hispanic,< Than HS Diploma,49762
E,55_64,male,black,< Than HS Diploma,60236
D,55_64,female,hispanic,Graduate Degree,14082
L,75_84,male,black,Bachelor Degree,2664
E,75_84,female,hispanic,Some College,6767
D,25_34,male,islander,Some College,972
I,55_64,female,islander,HS Diploma,84
J,55_64,female,islander,Bachelor Degree,75
C,25_34,male,white,HS Diploma,309333
F,75_84,female,hispanic,< Than HS Diploma,26697
C,75_84,female,black,Graduate Degree,10613
K,35_44,female,asian,Graduate Degree,18696
L,35_44,male,hispanic,HS Diploma,11044
B,85_120,male,islander,Some College,26
G,25_34,female,islander,< Than HS Diploma,112
L,35_44,female,white,HS Diploma,30835
K,85_120,female,white,Some College,12421
B,75_84,male,hispanic,HS Diploma,8919
F,35_44,female,hispanic,< Than HS Diploma,65549
C,65_74,female,black,Bachelor Degree,18168
I,25_34,female,black,< Than HS Diploma,5166
A,75_84,female,white,Graduate Degree,66691
L,75_84,female,asian,Bachelor Degree,8767
G,85_120,male,black,Some College,2059
D,55_64,male,hispanic,Bachelor Degree,7982
C,45_54,female,asian,Some College,9299
